,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
256,Anthony Driscoll-Glennon,"['Burnley', 'Burnley', 'Burnley', 'Burnley']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
257,Josip Drmic,['Norwich City'],21,3,18,No value,No value,3,No value,No value,3,1,5,3,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0.05,0,1,0,0,0,14,6,43%,2,3,0,1,6,7,0,160,7.62,1,3,No value,No value,No value
258,Martin Dubravka,['Newcastle United'],38,11,16,11,58,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,5,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,969,25.50,No value,No value,No value,No value,300
259,Ondrej Duda,['Norwich City (Loan)'],10,2,7,No value,No value,18,61%,No value,5,6,7,5,No value,48,42,42,6,6,18,No value,0,0,0.00,0,0,0,0,0,10,4,40%,1,0,0,0,9,2,0,338,33.80,2,43,30%,3,14
260,Shane Duffy,['Brighton and Hove Albion'],19,5,7,2,18,18,50%,1,1,21,70,48,0,56,98,48,3,70,26,0,0,1,No value,0,1,0,No value,No value,No value,No value,No value,0,No value,2,0,14,0,0,641,33.74,0,1,100%,0,44
261,Paul Dummett,['Newcastle United'],16,6,6,3,20,27,63%,0,0,23,61,31,0,54,62,44,1,28,32,1,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,2,0,4,0,0,449,28.06,0,15,13%,0,25
262,Bobby Duncan,['Liverpool'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
263,Lewis Dunk,['Brighton and Hove Albion'],36,9,13,9,50,40,60%,1,5,55,123,53,1,250,161,99,5,99,52,0,0,3,No value,1,2,0,No value,No value,No value,No value,No value,1,No value,9,0,19,1,3,"2,251",62.53,1,1,0%,1,164
264,Jimmy Dunne,"['Burnley', 'Burnley', 'Burnley', 'Burnley']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
265,Jake Eastwood,"['Sheffield United', 'Sheffield United', 'Sheffield United', 'Sheffield United']",0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
266,Ederson,['Manchester City'],35,24,8,16,28,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,3,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,3,1,2,No value,0,899,25.69,No value,No value,No value,No value,124
267,John Egan,['Sheffield United'],36,14,11,12,30,44,61%,1,14,58,165,76,0,177,198,129,1,134,79,0,1,2,No value,1,1,0,No value,No value,No value,No value,No value,0,No value,3,1,34,1,0,"1,290",35.83,1,2,0%,0,111
268,Ovie Ejaria,"['Liverpool', 'Liverpool']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
269,Anwar El Ghazi,['Aston Villa'],34,7,19,No value,No value,20,55%,No value,11,13,12,6,No value,75,97,151,29,31,57,No value,0,4,0.12,0,4,0,1,0,52,20,38%,2,7,3,0,20,12,4,479,14.09,4,107,24%,1,15
270,Callum Elder,['Leicester City'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
271,Robert Elliot,['Newcastle United'],0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
272,Harvey Elliott,['Liverpool'],2,2,0,No value,No value,0,0%,No value,0,0,0,0,No value,1,1,1,1,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,11,5.50,0,3,0%,0,1
273,Tommy Elphick,['Aston Villa'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
274,Mohamed Elyounoussi,"['Southampton', 'Southampton']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
275,Emerson,['Chelsea'],15,4,8,1,21,23,52%,0,4,18,14,9,0,59,68,31,12,17,11,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,1,No value,3,0,4,2,0,718,47.87,2,54,24%,0,22
276,Emiliano Martínez,"['Arsenal', 'Arsenal', 'Arsenal']",9,5,3,3,9,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,2,0,0,No value,0,245,27.22,No value,No value,No value,No value,33
277,Björn Engels,['Aston Villa'],17,3,12,2,32,11,55%,0,0,28,85,42,0,53,71,39,1,55,27,0,1,1,No value,1,0,0,No value,No value,No value,No value,No value,0,No value,1,0,5,1,0,647,38.06,0,2,50%,0,49
278,Niall Ennis,['Wolverhampton Wanderers'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
279,Bright Enobakhare,"['Wolverhampton Wanderers', 'Wolverhampton Wanderers']",0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
280,Christian Eriksen,['Tottenham Hotspur'],20,7,8,No value,No value,19,47%,No value,11,12,14,5,No value,82,31,52,0,6,10,No value,0,2,0.10,0,1,1,0,1,26,9,35%,0,0,5,0,9,2,2,674,33.70,3,72,15%,5,30
281,Jonny Evans,['Leicester City'],38,18,12,11,41,48,71%,0,1,57,171,84,0,230,207,121,6,127,71,1,0,1,No value,1,0,0,No value,No value,No value,No value,No value,0,No value,8,1,35,2,1,"2,491",65.55,0,8,13%,1,116
282,Timothy Eyoma,['Tottenham Hotspur U21'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
283,Lukasz Fabianski,['West Ham United'],25,8,10,5,34,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,3,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0,1,No value,0,572,22.88,No value,No value,No value,No value,201
284,Fabinho,['Liverpool'],28,22,3,No value,No value,62,56%,No value,4,34,16,6,No value,157,132,110,9,42,28,No value,0,2,0.07,0,2,0,0,0,12,4,33%,0,0,6,0,32,0,3,"1,578",56.36,2,9,44%,3,80
285,Cesc Fàbregas,['Chelsea'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
286,Malachi Fagan-Walcott,"['Tottenham Hotspur', 'Tottenham Hotspur']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
287,Ralf Fährmann,"['Norwich City (Loan)', 'Norwich City (Loan)']",1,0,1,0,1,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,8,8.00,No value,No value,No value,No value,0
288,Akin Famewo,"['Norwich City', 'Norwich City']",1,0,1,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
289,Felipe Anderson,['West Ham United'],25,6,15,No value,No value,46,70%,No value,8,22,10,5,No value,112,139,130,63,6,19,No value,0,1,0.04,0,1,0,0,0,23,8,35%,1,3,1,0,17,2,4,895,35.80,4,34,26%,5,42
290,Marouane Fellaini,['Manchester United'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
291,Edimilson Fernandes,['West Ham United'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
292,Federico Fernández,['Newcastle United'],32,10,12,8,42,42,60%,0,2,24,185,106,0,128,132,100,10,61,51,1,0,2,No value,1,1,0,No value,No value,No value,No value,No value,1,No value,8,0,17,2,2,"1,110",34.69,2,29,17%,0,100
293,Fernandinho,['Manchester City'],30,20,8,No value,No value,50,70%,No value,4,25,80,50,No value,148,154,96,13,74,49,No value,0,0,0.00,0,0,0,0,0,17,2,12%,1,0,7,2,26,1,1,"2,222",74.07,0,4,0%,0,133
294,Will Ferry,"['Southampton', 'Southampton']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
295,Ethan Fitzhugh,"['Leicester City', 'Leicester City', 'Leicester City']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
296,Jake Flannigan,['Southampton'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
297,Flávio Cristóvão,['Wolverhampton Wanderers'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
298,John Fleck,['Sheffield United'],30,10,11,No value,No value,36,69%,No value,12,24,21,7,No value,169,115,122,44,14,25,No value,0,5,0.17,0,1,4,0,0,31,11,35%,0,2,8,0,25,1,2,999,33.30,5,149,22%,3,38
299,Phil Foden,['Manchester City'],23,20,2,No value,No value,14,71%,No value,8,6,2,1,No value,36,62,61,25,10,18,No value,0,5,0.22,0,1,4,0,0,34,15,44%,0,1,0,0,12,1,2,494,21.48,0,29,24%,4,17
300,Pablo Fornals,['West Ham United'],36,10,17,No value,No value,46,61%,No value,9,25,8,3,No value,155,87,153,15,10,48,No value,0,2,0.06,0,2,0,0,0,36,11,31%,0,2,3,0,18,7,5,843,23.42,4,61,16%,6,40
301,Fraser Forster,"['Southampton', 'Southampton', 'Southampton']",0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
302,Ben Foster,['Watford'],38,8,20,9,64,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,2,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0,2,No value,0,"1,089",28.66,No value,No value,No value,No value,323
303,Timothy Fosu-Mensah,['Manchester United'],3,2,0,1,1,1,100%,0,0,4,1,0,0,7,3,11,1,1,2,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,1,0,5,1,0,64,21.33,0,2,50%,0,3
304,Dimitri Foulquier,"['Watford', 'Watford', 'Watford', 'Watford']",3,0,2,0,6,1,0%,0,0,2,2,0,0,4,3,2,2,0,2,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,10,3.33,0,1,0%,0,1
305,Juan Foyth,['Tottenham Hotspur'],4,1,0,0,3,7,43%,0,0,1,2,1,0,9,12,7,2,3,1,0,1,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,1,0,2,0,0,56,14.00,0,0,0%,0,2
306,Simon Francis,"['AFC Bournemouth', 'AFC Bournemouth']",15,3,11,1,21,13,69%,0,3,20,66,40,0,62,66,54,4,48,32,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,3,1,7,0,0,520,34.67,1,16,19%,0,30
307,Marcel Franke,['Norwich City'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
308,Ryan Fraser,['AFC Bournemouth'],28,7,16,No value,No value,12,50%,No value,10,15,17,11,No value,97,66,81,12,6,25,No value,0,1,0.04,0,1,0,0,1,27,12,44%,0,5,2,0,10,1,4,770,27.50,5,174,16%,2,27
309,Fred,['Manchester United'],29,13,7,No value,No value,60,53%,No value,10,38,27,7,No value,234,145,172,40,9,19,No value,0,0,0.00,0,0,0,0,0,40,10,25%,1,0,8,0,42,1,0,"1,668",57.52,3,63,22%,3,110
310,Ryan Fredericks,['West Ham United'],27,8,13,6,39,82,68%,0,2,24,64,31,1,113,149,116,11,36,36,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,7,0,25,0,3,856,31.70,3,59,25%,0,31
311,Kieron Freeman,"['Sheffield United', 'Sheffield United']",2,1,1,0,0,0,0%,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,1,0,0,1,0.50,0,0,0%,0,0
312,Christian Fuchs,['Leicester City'],11,6,3,2,10,14,64%,0,1,17,23,13,0,45,35,36,2,19,18,0,1,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,2,1,0,563,51.18,0,16,13%,0,26
313,Manolo Gabbiadini,['Southampton'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
314,Gabriel Jesus,['Manchester City'],34,23,8,No value,No value,17,No value,No value,20,11,6,6,No value,No value,No value,No value,No value,No value,No value,No value,No value,14,0.41,2,7,5,0,0,101,48,48%,3,24,3,0,27,19,7,609,17.91,4,6,No value,No value,No value
315,Gabriel Martinelli,['Arsenal'],14,3,3,No value,No value,20,75%,No value,2,3,5,4,No value,34,46,92,9,8,37,No value,0,3,0.21,0,3,0,0,0,12,5,42%,0,1,1,0,9,2,0,116,8.29,0,22,0%,1,2
316,Ethan Galbraith,"['Manchester United', 'Manchester United']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
317,Tony Gallacher,"['Liverpool', 'Liverpool']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
318,Conor Gallagher,"['Chelsea U21', 'Chelsea', 'Chelsea']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
319,Luke Garbutt,['Everton'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
320,Eric García,"['Manchester City', 'Manchester City']",13,11,2,3,7,6,17%,0,0,18,31,14,0,38,25,34,6,11,20,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,1,0,9,0,0,728,56.00,0,1,100%,0,26
321,James Garner,"['Manchester United', 'Manchester United']",1,1,0,No value,No value,0,0%,No value,0,0,1,0,No value,1,1,1,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,14,14.00,0,0,0%,0,1
322,Dwight Gayle,['Newcastle United'],20,3,10,No value,No value,12,No value,No value,5,2,9,8,No value,No value,No value,No value,No value,No value,No value,No value,No value,4,0.20,0,3,1,0,0,23,10,43%,1,5,2,0,6,2,2,145,7.25,2,3,No value,No value,No value
323,Paulo Gazzaniga,['Tottenham Hotspur'],18,5,8,2,26,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,1,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0,1,No value,0,456,25.33,No value,No value,No value,No value,76
324,Jean-Philippe Gbamin,['Everton'],2,1,0,No value,No value,4,75%,No value,0,1,4,3,No value,8,11,10,2,3,2,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,2,0,0,70,35.00,0,0,0%,0,2
325,Gedson Fernandes,['Tottenham Hotspur (Loan)'],7,3,1,No value,No value,2,0%,No value,1,1,0,0,No value,7,6,9,2,0,1,No value,0,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,0,0,0,0,39,5.57,0,7,29%,0,0
326,Brooklyn Genesini,"['AFC Bournemouth', 'AFC Bournemouth']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
327,Anthony Georgiou,['Tottenham Hotspur'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
328,Rachid Ghezzal,"['Leicester City', 'Leicester City']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
329,Morgan Gibbs-White,['Wolverhampton Wanderers'],7,3,3,No value,No value,0,0%,No value,0,2,0,0,No value,6,6,6,1,4,2,No value,0,0,0.00,0,0,0,0,0,2,0,0%,0,0,0,0,2,0,0,79,11.29,0,2,0%,1,2
330,Ben Gibson,['Burnley'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
331,Ryan Giles,"['Wolverhampton Wanderers', 'Wolverhampton Wanderers', 'Wolverhampton Wanderers', 'Wolverhampton Wanderers']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
332,Charlie Gilmour,['Arsenal'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
333,Olivier Giroud,['Chelsea'],18,10,6,No value,No value,8,No value,No value,4,2,13,12,No value,No value,No value,No value,No value,No value,No value,No value,No value,8,0.44,1,2,5,0,0,39,19,49%,1,6,1,0,17,9,0,299,16.61,1,2,No value,No value,No value
334,Paul Gladon,['Wolverhampton Wanderers'],0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
335,Paul Glatzel,['Liverpool'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
336,Ben Godfrey,['Norwich City'],30,5,22,2,62,22,64%,0,0,25,148,76,0,162,105,70,8,66,42,1,0,0,No value,0,0,0,No value,No value,No value,No value,No value,2,No value,3,1,15,0,0,"1,660",55.33,0,3,0%,1,95
337,Claudio Gomes,['Manchester City'],0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
338,Joseph Gomez,['Liverpool'],28,24,2,12,16,23,70%,0,1,38,59,25,0,151,112,87,8,70,49,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,7,0,21,0,0,"1,988",71.00,0,9,33%,1,104
339,Gonçalo Cardoso,['West Ham United'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
340,Mace Goodridge,"['Burnley', 'Burnley']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
341,John-Kymani Gordon,"['Crystal Palace', 'Crystal Palace']",0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
342,Dan Gosling,['AFC Bournemouth'],24,5,16,No value,No value,26,38%,No value,4,20,22,8,No value,82,69,100,4,21,28,No value,0,3,0.13,0,3,0,0,0,13,6,46%,0,2,3,0,21,2,1,520,21.67,2,3,67%,1,17
343,Kamil Grabara,"['Liverpool', 'Liverpool']",0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
344,Lee Grant,['Manchester United'],0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
345,Demarai Gray,['Leicester City'],21,11,6,No value,No value,12,50%,No value,7,5,3,1,No value,35,34,50,10,2,8,No value,0,2,0.10,0,2,0,0,0,23,8,35%,0,1,1,0,2,3,3,291,13.86,4,31,26%,1,10
346,Jack Grealish,['Aston Villa'],36,9,19,No value,No value,29,66%,No value,18,22,10,4,No value,188,289,182,73,22,27,No value,1,8,0.22,0,5,3,0,0,73,23,32%,2,5,8,0,34,4,6,"1,371",38.08,8,141,20%,2,81
347,Andre Green,"['Aston Villa', 'Aston Villa', 'Aston Villa']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
348,Mason Greenwood,['Manchester United'],31,13,7,No value,No value,17,No value,No value,7,6,5,2,No value,No value,No value,No value,No value,No value,No value,No value,No value,10,0.32,0,2,8,0,0,39,20,51%,1,2,0,0,12,3,1,495,15.97,1,10,No value,No value,No value
349,Daniel Grimshaw,"['Manchester City', 'Manchester City']",0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
350,Pascal Groß,['Brighton and Hove Albion'],29,7,12,No value,No value,36,36%,No value,9,9,7,2,No value,83,73,104,6,18,29,No value,0,2,0.07,0,2,0,0,1,29,9,31%,1,0,4,0,23,8,4,899,31.00,10,146,32%,5,42
351,Marko Grujic,"['Liverpool', 'Liverpool', 'Liverpool']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
352,Vicente Guaita,['Crystal Palace'],35,11,15,10,42,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,2,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,1,0,0,No value,0,884,25.26,No value,No value,No value,No value,220
353,Jóhann Gudmundsson,['Burnley'],12,3,5,No value,No value,4,50%,No value,2,7,6,5,No value,31,20,36,5,7,14,No value,0,1,0.08,0,0,1,0,0,10,2,20%,1,1,0,0,9,1,1,160,13.33,1,35,46%,0,8
354,Matteo Guendouzi,['Arsenal'],24,7,7,No value,No value,31,52%,No value,5,29,34,16,No value,117,116,102,24,13,16,No value,0,0,0.00,0,0,0,0,0,11,5,45%,1,1,6,0,17,0,1,"1,152",48.00,1,6,17%,7,70
355,Frédéric Guilbert,['Aston Villa'],25,7,13,2,36,74,58%,0,2,49,62,26,0,104,164,172,23,48,68,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,7,0,36,2,2,749,29.96,1,91,16%,0,40
356,Ilkay Gündogan,['Borussia Dortmund'],31,20,8,No value,No value,27,59%,No value,14,31,13,6,No value,137,70,80,18,11,15,No value,0,2,0.06,0,2,0,1,0,33,8,24%,1,5,7,0,16,2,1,"1,953",63.00,3,30,30%,7,106
357,Angus Gunn,['Southampton'],10,2,6,2,25,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,231,23.10,No value,No value,No value,No value,43
358,Peter Gwargis,"['Brighton and Hove Albion', 'Brighton & Hove Albion', 'Brighton and Hove Albion']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
359,Viktor Gyökeres,"['Brighton and Hove Albion', 'Brighton and Hove Albion', 'Brighton and Hove Albion']",0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
