,Name,club,Appearances,Wins,Losses,Clean sheets,Goals conceded,Tackles,Tackle success (%),Last man tackles,Blocked shots,Interceptions,Clearances,Headed clearances,Clearances off the line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goals,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Free-kicks scored,Shots,Shots on target,Shot accuracy,Hit the woodwork,Big chances missed,Yellow cards,Red cards,Fouls commited,Offsides,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy (%),Through balls,Accurate long balls
143,Oskar Buur,['Wolverhampton Wanderers U21'],0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
144,Jack Bycroft,['Southampton'],0,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,0,0.00,No value,No value,No value,No value,0
145,Sam Byram,"['Norwich City', 'West Ham United']",17,4,9,3,23,40,55%,0,5,26,61,33,0,73,97,87,6,43,39,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,1,No value,4,0,16,1,0,636,37.41,0,7,14%,0,15
146,Willy Caballero,['Chelsea'],5,2,1,1,7,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0,0,No value,0,147,29.40,No value,No value,No value,No value,31
147,Gary Cahill,"['Crystal Palace', 'Crystal Palace', 'Chelsea']",25,8,12,7,35,15,53%,0,8,18,111,56,0,98,115,77,4,87,52,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,1,0,14,0,1,"1,004",40.16,1,0,0%,0,73
148,Jake Cain,"['Liverpool', 'Liverpool']",0,0,0,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0
149,Dominic Calvert-Lewin,['Everton'],36,12,14,No value,No value,7,No value,No value,15,6,36,33,No value,No value,No value,No value,No value,No value,No value,No value,No value,13,0.36,4,6,3,0,0,85,38,45%,2,17,9,0,57,13,1,553,15.36,1,19,No value,No value,No value
150,Víctor Camarasa,['Crystal Palace (Loan)'],1,0,1,No value,No value,0,0%,No value,0,0,0,0,No value,0,0,0,0,0,0,No value,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,3,3.00,0,0,0%,0,0
151,Brennan Camp,"['AFC Bournemouth', 'AFC Bournemouth']",0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No value,0,0,0,No value,No value,No value,No value,No value,0,No value,0,0,0,0,0,0,0.00,0,0,0%,0,0
152,Leonardo Campana,"['Wolverhampton Wanderers', 'Wolverhampton Wanderers']",0,0,0,No value,No value,0,No value,No value,0,0,0,0,No value,No value,No value,No value,No value,No value,No value,No value,No value,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0.00,0,0,No value,No value,No value
